FluorCam7 Kinetics Export File
-----------------------------------
[us]	[°C]	AXA4.2	AXA4.1	AA3.1	AA5.2	AA5.1	AA7.1	AA7.3	AA7.2	AA1.1	AA5.3	AA1.2	AXA2.1	AA1.3	AA4.1	AXA5.1	AXA2.3	AA2.1	AA4.2	AA3.3	AA6.1	AXA3.1	AA3.2	AXA4.3	AXA1.1	AA2.2	AXA1.2	AXA3.2	AXA5.2	AA6.3	AA4.3	AA2.3	AXA1.3	AXA3.3	AXA5.3	AXA6.1	AXA6.2	AXA6.3	AXA7.1	AXA7.2	AXA7.3
900140000	42.08	207.716	177.282	152.150	284.879	164.771	160.759	279.675	168.192	233.557	273.803	230.139	207.452	329.222	330.829	213.293	191.350	363.569	304.735	329.709	259.121	259.752	304.299	194.153	295.479	365.855	324.658	298.128	211.184	274.690	234.281	228.702	215.624	472.128	239.277	233.699	238.212	223.128	205.347	210.138	205.918
900180000	42.08	202.516	177.647	160.400	287.224	172.438	159.354	278.265	169.000	226.600	272.521	227.454	204.968	324.325	333.752	215.190	195.437	367.069	309.632	338.624	267.793	268.897	300.581	192.796	289.325	368.615	322.641	301.419	221.282	273.276	234.018	226.965	198.475	469.085	241.768	228.681	242.982	218.963	206.705	211.092	210.109
930020000	42.32	199.484	176.576	153.083	285.000	166.833	157.380	267.701	162.256	237.435	264.940	226.389	212.140	322.974	330.214	213.940	193.359	365.267	309.880	332.556	262.276	267.393	305.504	200.082	292.137	358.983	331.991	305.991	209.573	270.207	236.386	223.325	203.960	461.017	236.562	230.779	235.097	223.881	206.011	214.459	216.209
930060000	42.32	203.347	177.988	147.383	284.897	178.292	166.899	267.410	167.962	233.096	268.897	228.130	201.032	323.538	327.419	215.026	193.728	369.448	303.983	334.359	252.431	264.581	303.598	197.296	292.214	355.077	328.496	299.855	210.126	265.922	240.658	223.333	203.099	465.214	234.170	230.726	247.646	221.495	203.653	212.835	210.982
930100000	42.32	208.989	175.329	158.317	286.198	165.083	161.114	272.701	169.949	236.991	272.667	230.778	207.366	326.889	331.060	215.103	191.592	365.750	310.692	330.598	270.672	259.273	300.419	200.653	292.923	364.342	326.650	302.769	212.291	269.336	238.482	226.605	207.653	457.103	237.911	231.619	245.752	221.064	206.768	217.807	214.491
930140000	42.32	197.000	172.929	151.383	286.379	167.833	157.962	273.718	167.167	233.339	269.701	228.444	212.172	318.590	336.077	218.207	194.932	368.293	313.974	332.179	273.888	262.009	302.051	191.439	289.103	350.291	328.453	304.248	212.233	276.095	236.658	225.175	203.990	473.308	242.339	223.009	251.230	221.560	206.200	216.339	205.327
930180000	42.32	207.516	171.871	157.367	292.112	179.583	167.582	273.838	162.910	236.217	272.017	230.444	217.000	325.504	333.906	210.302	203.369	375.948	309.402	333.573	268.724	262.316	307.248	197.031	295.906	362.128	329.607	304.308	217.612	274.112	234.614	231.798	208.109	474.496	243.188	230.664	249.690	228.523	214.642	212.055	212.964
960020000	42.56	205.105	183.659	157.100	284.121	175.375	166.924	276.949	171.000	236.939	271.846	233.481	211.613	326.684	333.769	214.828	197.194	371.405	305.359	330.957	260.491	261.590	311.402	196.622	294.034	368.795	333.940	300.393	209.437	270.690	246.377	234.632	216.475	475.821	236.777	231.124	245.496	223.046	201.284	214.385	212.936
960060000	42.56	206.632	177.106	161.617	289.741	169.979	161.544	268.915	170.500	231.635	270.641	229.704	213.656	327.128	333.462	215.560	195.951	366.698	301.880	331.325	257.431	257.547	295.504	202.949	292.419	356.795	325.855	297.103	209.660	266.060	237.044	223.596	205.792	464.470	229.071	227.124	242.743	219.532	206.200	215.972	209.145
960100000	42.56	214.379	170.341	158.650	279.879	178.750	159.861	272.957	168.090	238.696	271.744	226.083	206.785	319.034	330.880	218.052	197.631	361.940	307.709	331.513	269.147	262.897	299.581	197.847	293.786	364.299	335.222	304.829	206.777	276.336	240.447	229.009	204.485	466.855	243.688	227.062	248.867	217.376	205.684	218.982	217.100
